Antenna 1Antenna2,,u,v,w,Cos,Sin
14,13,-21.743832,7.062516,15.947742,-3.942282,10.82631
15,0,6.966664,-13.611433,-9.860291,3.894707,2.1575
15,1,16.64027,-11.365678,16.057751,-4.789676,-12.024637
15,2,8.862416,-0.269775,-5.203818,4.031357,-7.324227
15,3,17.690735,-14.098921,2.201729,3.3621,-8.024949
15,4,-6.580925,-13.594681,-3.27824,0.118177,-9.605766
15,5,-3.237541,-15.675186,-2.572983,-0.360209,1.243722
15,6,-3.48304,-36.10371,-21.141834,11.44514,-4.34038
15,7,20.954674,6.462508,-13.586048,7.248097,0.777372
15,8,16.549496,-17.444237,-21.676847,-2.058903,-22.210907
15,9,23.729916,-7.967816,-4.851047,-5.417114,1.757367
15,10,5.258948,-0.536641,-1.856287,3.090721,-11.9221
15,11,14.569323,-6.918918,-21.873129,-5.821786,-11.60951
15,12,12.04749,-31.154793,-4.484879,5.351544,2.43524
15,13,-0.367676,-19.275124,3.785576,-17.519381,-2.923156
15,14,21.376156,-26.337639,-12.162167,5.016642,-4.277728
16,0,0.900756,-9.39086,-3.915739,12.196249,4.705746
16,1,10.574362,-7.145104,22.002304,-2.307881,3.434171
16,2,2.796508,3.950798,0.740735,-2.034837,-11.457785
16,3,11.624826,-9.878347,8.146282,-19.70768,-2.257897
16,4,-12.646833,-9.374107,2.666312,3.597573,3.284586
16,5,-9.30345,-11.454613,3.37157,3.688988,-2.045701
16,6,-9.548948,-31.883137,-15.197281,-9.283135,7.957915
16,7,14.888764,10.683082,-7.641496,4.16254,-0.960783
16,8,10.483587,-13.223662,-15.732294,8.110928,-7.710079
16,9,17.664009,-3.747243,1.093506,-4.416408,-4.620024
16,10,-0.806961,3.683932,4.088265,9.221712,-6.537136
16,11,8.503414,-2.698345,-15.928576,5.747716,4.732501
16,12,5.981581,-26.934219,1.459673,9.697777,-9.324315
16,13,-6.433584,-15.05455,9.730129,-0.013377,0.859051
16,14,15.310247,-22.117065,-6.217614,7.562201,-4.375469
16,15,-6.065908,4.220573,5.944553,10.007742,-7.019189
17,0,12.804825,-11.806858,-6.819149,-6.013612,7.509899
17,1,22.47843,-9.561103,19.098894,0.672799,-7.130641
17,2,14.700577,1.5348,-2.162675,10.47681,-9.154311
17,3,23.528896,-12.294346,5.242872,-8.411542,-3.2081
17,4,-0.742764,-11.790106,-0.237098,-6.146047,0.788253
17,5,2.600619,-13.870611,0.46816,6.638934,-19.839334
17,6,2.355121,-34.299137,-18.100691,-0.811532,-0.739382
17,7,26.792833,8.267083,-10.544906,-3.603676,-6.296159
17,8,22.387657,-15.639661,-18.635704,-4.36282,-5.469844
17,9,29.568077,-6.163241,-1.809904,5.979557,-0.390805
17,10,11.097109,1.267934,1.184855,-9.29157,6.033832
17,11,20.407482,-5.114343,-18.831985,-0.296801,-3.357637
17,12,17.885651,-29.350216,-1.443737,3.61264,5.636531
17,13,5.470485,-17.470549,6.826719,-3.406543,3.338193
17,14,27.214317,-24.533066,-9.121024,6.27245,-9.009069
17,15,5.838161,1.804575,3.041143,4.100133,-6.309748
17,16,11.904069,-2.415998,-2.90341,9.336378,7.507412
18,0,6.999226,-2.700293,-0.914948,-0.164808,-10.606809
18,1,16.672831,-0.454538,25.003094,-2.591048,1.140799
18,2,8.894978,10.641365,3.741525,-6.244969,3.235193
18,3,17.723297,-3.18778,11.147073,-4.60653,-7.962334
18,4,-6.548364,-2.68354,5.667103,2.253519,8.031408
18,5,-3.20498,-4.764046,6.37236,14.30949,5.020136
18,6,-3.450479,-25.192572,-12.19649,-9.728577,8.814125
18,7,20.987234,17.373648,-4.640705,-3.18082,-5.356918
18,8,16.582058,-6.533096,-12.731503,1.18965,3.401915
18,9,23.762478,2.943323,4.094297,6.673697,-8.913979
18,10,5.291509,10.374499,7.089056,-1.176115,0.780401
18,11,14.601883,3.992222,-12.927785,-4.241064,-3.687647
18,12,12.080051,-20.243652,4.460464,-0.030655,-1.537593
18,13,-0.335114,-8.363983,12.73092,-7.617881,-7.051492
18,14,21.408718,-15.426499,-3.216823,12.108312,-2.346767
18,15,0.032561,10.91114,8.945343,10.280296,11.726069
18,16,6.09847,6.690567,3.000791,-10.590033,18.01049
18,17,-5.805599,9.106565,5.904201,8.918425,12.033956
19,0,0.091812,14.93645,7.361367,6.698291,-20.667349
19,1,9.765418,17.182205,33.279411,-2.908471,12.058084
19,2,1.987565,28.278107,12.01784,-15.571945,5.681795
19,3,10.815884,14.448963,19.423388,-3.146491,13.514944
19,4,-13.455777,14.953203,13.943419,8.767355,9.508987
19,5,-10.112393,12.872698,14.648675,6.289928,-16.925995
19,6,-10.357892,-7.555828,-3.920176,-2.267416,5.78638
19,7,14.079821,35.010391,3.63561,-17.440807,-1.345295
19,8,9.674644,11.103647,-4.455189,12.461202,0.387685
19,9,16.855064,20.580067,12.370612,-3.977119,5.974116
19,10,-1.615904,28.011242,15.365371,-14.831229,-6.228848
19,11,7.69447,21.628965,-4.65147,4.895172,4.825777
19,12,5.172638,-2.606909,12.736779,15.25293,-5.270041
19,13,-7.242528,9.272759,21.007235,15.926123,19.836525
19,14,14.501304,2.210243,5.059492,-12.582527,-2.060467
19,15,-6.874852,28.547882,17.221659,8.690056,-12.550329
19,16,-0.808944,24.327309,11.277105,4.942317,-8.125467
19,17,-12.713013,26.743309,14.180515,10.701538,-5.119147
19,18,-6.907413,17.636744,8.276315,6.958886,6.625796
20,0,-11.097584,-0.412191,-1.212359,4.288958,0.760057
20,1,-1.423978,1.833565,24.705683,-3.282247,-1.558221
20,2,-9.201832,12.929467,3.444114,24.594608,6.122903
20,3,-0.373513,-0.899678,10.849662,1.774541,-4.899416
20,4,-24.645172,-0.395438,5.369692,13.554726,-9.771188
20,5,-21.301788,-2.475943,6.074949,-3.555253,-2.262941
20,6,-21.547287,-22.904469,-12.493901,-4.407873,-11.428021
20,7,2.890425,19.661751,-4.938116,8.803947,-3.991446
20,8,-1.514752,-4.244993,-13.028914,2.809342,2.503953
20,9,5.665668,5.231426,3.796886,10.325457,-5.014051
20,10,-12.8053,12.662601,6.791645,22.841055,4.28515
20,11,-3.494926,6.280324,-13.225196,-1.659434,3.314947
20,12,-6.016758,-17.955549,4.163053,-3.617839,-2.809042
20,13,-18.431923,-6.075881,12.433509,10.162563,-12.478928
20,14,3.311908,-13.138397,-3.514234,13.233939,9.288239
20,15,-18.064247,13.199243,8.647932,-5.876106,2.831496
20,16,-11.99834,8.978669,2.70338,-7.184269,19.154325
20,17,-23.902409,11.394668,5.60679,4.902927,23.559093
20,18,-18.096809,2.288102,-0.297411,13.966162,-10.231233
20,19,-11.189396,-15.34864,-8.573726,-18.070543,-5.619749
21,0,-3.473171,18.083874,-12.229004,-1.054708,3.403796
21,1,6.200435,20.329628,13.689039,6.556119,-7.915724
21,2,-1.577418,31.425529,-7.572531,-3.611842,13.630228
21,3,7.250901,17.596386,-0.166983,-3.530027,7.533723
21,4,-17.02076,18.100626,-5.646953,10.822168,-17.601278
21,5,-13.677376,16.020121,-4.941695,7.652945,-4.331449
21,6,-13.922874,-4.408405,-23.510546,0.458394,-2.156991
21,7,10.514838,38.157814,-15.954762,1.577343,-6.167124
21,8,6.109661,14.25107,-24.045559,17.633926,-7.349369
21,9,13.290082,23.727489,-7.219759,-2.357554,-6.06154
21,10,-5.180887,31.158665,-4.225,12.329259,-23.386456
21,11,4.129488,24.776388,-24.24184,18.101128,22.379562
21,12,1.607655,0.540514,-6.853592,2.058755,-7.343109
21,13,-10.80751,12.420182,1.416864,-5.587487,0.089493
21,14,10.936321,5.357666,-14.530879,-1.525622,-8.545423
21,15,-10.439835,31.695305,-2.368712,1.744473,-7.022815
21,16,-4.373926,27.474731,-8.313265,22.157356,-1.419117
21,17,-16.277996,29.890732,-5.409855,-4.644464,11.872219
21,18,-10.472396,20.784166,-11.314055,-0.714086,-1.018974
21,19,-3.564983,3.147423,-19.59037,8.367338,-6.560619
21,20,7.624413,18.496063,-11.016644,1.764784,-0.41293
22,0,-2.011084,-1.464301,2.384937,8.111308,3.875355
22,1,7.662522,0.781454,28.302979,7.109701,2.361963
22,2,-0.115331,11.877357,7.04141,5.673472,-9.65555
22,3,8.712988,-1.951789,14.446958,6.615101,-12.37849
22,4,-15.558673,-1.447549,8.966988,-1.195512,9.910078
22,5,-12.215289,-3.528054,9.672245,1.817406,0.205105
22,6,-12.460788,-23.956579,-8.896605,1.59083,-4.374774
22,7,11.976925,18.60964,-1.34082,6.013152,6.480132
22,8,7.571748,-5.297104,-9.431619,-1.689099,3.572105
22,9,14.752169,4.179315,7.394182,2.609308,-10.538476
22,10,-3.7188,11.610491,10.388941,12.273003,1.646091
22,11,5.591575,5.228213,-9.6279,-9.95306,-8.285013
22,12,3.069742,-19.00766,7.760349,-2.937881,9.26211
22,13,-9.345424,-7.127992,16.030804,-8.684276,-9.874687
22,14,12.398408,-14.190508,0.083062,27.444279,-5.56702
22,15,-8.977748,12.147132,12.245228,10.015754,5.909344
22,16,-2.911839,7.926558,6.300675,-5.862443,11.606697
22,17,-14.815908,10.342557,9.204085,2.626981,19.164581
22,18,-9.010309,1.235992,3.299885,29.212624,-9.513046
22,19,-2.102896,-16.400751,-4.97643,-11.032471,6.004578
22,20,9.0865,-1.052111,3.597296,12.834507,-2.848747
22,21,1.462087,-19.548174,14.613941,-1.77986,6.770588
23,0,10.925392,6.841398,2.054708,-11.372,-9.946891
23,1,20.598997,9.087153,27.972752,2.788724,0.399807
23,2,12.821144,20.183056,6.711182,-1.353086,2.708061
23,3,21.649464,6.353911,14.116729,-3.794512,16.753532
23,4,-2.622197,6.858151,8.636759,0.627064,-6.967254
23,5,0.721187,4.777646,9.342016,7.300221,-8.202187
23,6,0.475688,-15.65088,-9.226834,-3.18117,11.13925
23,7,24.913401,26.91534,-1.671049,-9.656063,3.721659
23,8,20.508224,3.008595,-9.761847,-6.506223,3.351928
23,9,27.688644,12.485015,7.063953,0.629222,-9.556953
23,10,9.217676,19.916191,10.058712,-5.633146,-5.415487
23,11,18.528049,13.533913,-9.958129,-3.692415,-1.061828
23,12,16.006218,-10.701961,7.43012,8.597939,-10.507042
23,13,3.591052,1.177708,15.700576,7.246559,-3.734581
23,14,25.334885,-5.884809,-0.247167,-1.464407,9.169909
23,15,3.958728,20.452831,11.914999,3.484153,5.763196
23,16,10.024636,16.232258,5.970447,-1.202576,-13.702386
23,17,-1.879433,18.648256,8.873857,14.325354,14.899594
23,18,3.926167,9.541691,2.969656,-7.406896,-10.579406
23,19,10.83358,-8.095052,-5.306659,13.216845,8.244526
23,20,22.022976,7.253589,3.267067,1.595803,-0.304584
23,21,14.398562,-11.242475,14.283712,-1.03823,-13.77535
23,22,12.936476,8.305699,-0.330229,5.147916,17.484579
24,0,-6.709609,22.925922,-8.200184,-9.135544,2.820307
24,1,2.963997,25.171679,17.717857,2.248339,16.983738
24,2,-4.813856,36.267582,-3.543711,-3.113623,10.465437
24,3,4.014462,22.438437,3.861836,-3.697147,4.271072
24,4,-20.257198,22.942677,-1.618133,10.610945,-3.98755
24,5,-16.913815,20.862171,-0.912876,8.407764,-16.705341
24,6,-17.159313,0.433645,-19.481728,-3.431033,-9.941929
24,7,7.2784,42.999863,-11.925941,14.199497,2.85041
24,8,2.873223,19.093121,-20.016739,10.579319,18.433584
24,9,10.053644,28.56954,-3.190939,8.219446,-8.356585
24,10,-8.417325,36.000717,-0.19618,0.907282,4.003703
24,11,0.893049,29.618439,-20.21302,-3.623405,-2.911581
24,12,-1.628783,5.382565,-2.824772,-6.81906,1.165226
24,13,-14.043948,17.262234,5.445683,5.392376,7.052945
24,14,7.699883,10.199717,-10.50206,5.650569,-6.050621
24,15,-13.676272,36.537357,1.660107,-0.352998,-18.431156
24,16,-7.610364,32.316784,-4.284446,7.055439,-3.994114
24,17,-19.514433,34.73278,-1.381036,-1.422269,4.447009
24,18,-13.708834,25.626217,-7.285236,-3.850681,-10.609025
24,19,-6.801421,7.989473,-15.561551,7.189026,-4.876398
24,20,4.387976,23.338114,-6.987825,16.060291,6.306545
24,21,-3.236438,4.842051,4.02882,8.073885,10.512048
24,22,-4.698525,24.390224,-10.585121,5.882759,0.242985
24,23,-17.635,16.084526,-10.254892,9.276905,4.33475
25,0,-14.140713,-11.466745,-16.733227,9.976954,-6.776225
25,1,-4.467107,-9.22099,9.184815,1.340083,-14.881371
25,2,-12.244961,1.874912,-12.076754,-25.268211,-1.300995
25,3,-3.416642,-11.954233,-4.671206,18.063148,-0.498354
25,4,-27.688301,-11.449993,-10.151176,6.950147,14.5565
25,5,-24.344917,-13.530499,-9.445919,1.479409,4.867256
25,6,-24.590416,-33.959023,-28.014771,9.450669,3.044817
25,7,-0.152704,8.607196,-20.458984,-5.248908,-7.861176
25,8,-4.557881,-15.299548,-28.549782,8.037363,3.339937
25,9,2.62254,-5.823129,-11.723982,5.018454,4.907493
25,10,-15.848429,1.608047,-8.729223,-0.620523,-0.797158
25,11,-6.538055,-4.77423,-28.746063,0.905288,-1.427979
25,12,-9.059887,-29.010105,-11.357815,-2.204779,-18.514025
25,13,-21.475052,-17.130436,-3.087359,8.591763,1.946981
25,14,0.268779,-24.192951,-19.035103,-3.005129,5.985677
25,15,-21.107376,2.144688,-6.872936,-6.543843,10.640209
25,16,-15.041469,-2.075886,-12.817489,-5.59789,-9.39878
25,17,-26.945538,0.340113,-9.914079,3.105858,-9.800508
25,18,-21.139938,-8.766453,-15.818279,3.463412,4.299572
25,19,-14.232525,-26.403194,-24.094593,3.81931,-7.792806
25,20,-3.043129,-11.054555,-15.520868,-20.38806,8.852634
25,21,-10.667542,-29.550617,-4.504223,12.938061,13.607403
25,22,-12.129629,-10.002444,-19.118164,2.902947,-2.412903
25,23,-25.066105,-18.308144,-18.787935,4.046938,-7.052678
25,24,-7.431105,-34.39267,-8.533043,-4.253125,10.670395
26,0,-20.874117,5.485878,-7.772056,9.465833,-3.311505
26,1,-11.20051,7.731633,18.145987,4.291403,-2.362477
26,2,-18.978363,18.827536,-3.115582,-1.524279,-0.85068
26,3,-10.150045,4.998391,4.289965,0.48826,-4.612851
26,4,-34.421707,5.502631,-1.190005,-3.933613,9.340005
26,5,-31.078321,3.422125,-0.484747,1.180706,-5.917521
26,6,-31.32382,-17.006401,-19.053598,-4.468158,9.40887
26,7,-6.886107,25.559818,-11.497813,10.818482,-8.326389
26,8,-11.291285,1.653075,-19.588612,8.918866,-2.452425
26,9,-4.110864,11.129495,-2.762811,-2.481167,-9.265728
26,10,-22.581833,18.560669,0.231948,2.325269,1.860468
26,11,-13.271458,12.178392,-19.784893,16.317196,2.06186
26,12,-15.79329,-12.057481,-2.396644,0.791603,10.504336
26,13,-28.208456,-0.177813,5.873812,-7.354719,-0.388256
26,14,-6.464624,-7.240329,-10.073931,5.220049,7.924929
26,15,-27.84078,19.097311,2.088236,3.668039,13.154581
26,16,-21.774872,14.876738,-3.856317,-1.715149,15.841201
26,17,-33.67894,17.292736,-0.952907,11.368059,5.234512
26,18,-27.873341,8.186171,-6.857108,9.40642,0.521028
26,19,-20.965929,-9.450572,-15.133423,-3.820502,3.020729
26,20,-9.776532,5.898068,-6.559697,11.074869,2.09533
26,21,-17.400946,-12.597995,4.456948,-0.039489,2.168585
26,22,-18.863033,6.950179,-10.156993,11.083586,2.463636
26,23,-31.799507,-1.35552,-9.826764,-7.161467,11.736276
26,24,-14.164508,-17.440044,0.428128,3.317639,7.251369
26,25,-6.733403,16.952623,8.961171,1.053553,-7.209521
27,0,-1.732165,-2.886708,-4.395173,4.524027,7.113894
27,1,7.941441,-0.640953,21.522869,16.507126,3.349478
27,2,0.163588,10.454949,0.2613,14.406969,-1.577314
27,3,8.991907,-3.374195,7.666848,-5.440927,-1.829553
27,4,-15.279754,-2.869955,2.186878,-11.306027,-14.733885
27,5,-11.93637,-4.950461,2.892135,-18.452412,10.378483
27,6,-12.181869,-25.378986,-15.676716,8.830911,4.34882
27,7,12.255844,17.187233,-8.120931,5.529862,0.777451
27,8,7.850667,-6.719511,-16.211729,0.122432,-10.965107
27,9,15.031088,2.756908,0.614072,13.087873,4.333647
27,10,-3.439881,10.188084,3.608831,-7.093878,-2.54254
27,11,5.870493,3.805807,-16.40801,12.86836,0.935687
27,12,3.348661,-20.430067,0.980239,6.211409,7.425065
27,13,-9.066504,-8.550399,9.250694,-6.67284,4.843414
27,14,12.677327,-15.612915,-6.697048,6.173132,5.88149
27,15,-8.698829,10.724725,5.465118,2.37176,-0.377564
27,16,-2.63292,6.504151,-0.479434,24.228144,0.984292
27,17,-14.536989,8.92015,2.423976,-6.150905,7.958265
27,18,-8.73139,-0.186415,-3.480225,-6.57029,-8.65217
27,19,-1.823977,-17.823158,-11.75654,-8.528527,-9.519156
27,20,9.365419,-2.474517,-3.182814,-0.257162,-14.24914
27,21,1.741006,-20.970581,7.833831,11.417929,-5.355953
27,22,0.278919,-1.422407,-6.78011,9.362757,-0.863414
27,23,-12.657557,-9.728106,-6.449881,-5.13665,8.046045
27,24,4.977444,-25.812632,3.805011,-9.231379,1.269009
27,25,12.408548,8.580037,12.338054,-13.437913,-14.361425
27,26,19.141953,-8.372586,3.376883,-14.199543,-8.916535
28,0,16.579859,1.514188,-0.67527,0.769559,5.875177
28,1,26.253466,3.759943,25.242773,-7.376059,-2.297896
28,2,18.475613,14.855845,3.981203,-3.072839,-7.174897
28,3,27.30393,1.0267,11.386751,-8.088089,9.696595
28,4,3.03227,1.530941,5.906781,-4.838847,18.643799
28,5,6.375654,-0.549565,6.612039,1.474965,-11.924876
28,6,6.130156,-20.97809,-11.956812,13.817563,2.797604
28,7,30.567867,21.588129,-4.401027,-6.039586,-0.360721
28,8,26.162691,-2.318615,-12.491825,7.480681,4.246063
28,9,33.343113,7.157804,4.333975,-10.930588,1.963818
28,10,14.872143,14.58898,7.328734,15.145155,10.407252
28,11,24.182518,8.206703,-12.688107,-6.857431,4.94739
28,12,21.660685,-16.029171,4.700142,-1.370219,-13.023628
28,13,9.24552,-4.149503,12.970598,-1.871783,4.463527
28,14,30.989351,-11.212019,-2.977145,13.578872,7.447906
28,15,9.613195,15.125621,9.185021,4.171899,6.498006
28,16,15.679104,10.905047,3.240469,2.526066,3.398713
28,17,3.775035,13.321046,6.143879,-2.228982,0.737868
28,18,9.580634,4.214481,0.239678,-5.668317,0.260872
28,19,16.488047,-13.422262,-8.036636,7.420075,6.224031
28,20,27.677444,1.926378,0.537089,9.619686,-2.98913
28,21,20.05303,-16.569685,11.553734,-2.27657,2.869203
28,22,18.590942,2.978489,-3.060207,14.172967,15.529213
28,23,5.654468,-5.32721,-2.729978,5.400628,-9.50122
28,24,23.289469,-21.411736,7.524914,-7.050276,-1.930982
28,25,30.720573,12.980933,16.057957,-6.438558,-1.259542
28,26,37.453976,-3.97169,7.096786,4.057475,-16.024036
28,27,18.312023,4.400896,3.719903,-3.905214,-3.040038
29,0,12.836748,10.521008,6.364604,20.104733,-19.947056
29,1,22.510353,12.766763,32.282646,-5.091,-4.767434
29,2,14.7325,23.862665,11.021078,1.264116,6.12785
29,3,23.56082,10.03352,18.426624,3.921343,-0.837277
29,4,-0.710841,10.53776,12.946655,0.503046,-6.072881
29,5,2.632543,8.457254,13.651913,-3.774423,0.756889
29,6,2.387044,-11.971271,-4.916938,0.056334,-0.269536
29,7,26.824757,30.594948,2.638847,-6.996064,-0.824735
29,8,22.419579,6.688205,-5.451951,9.823261,5.469825
29,9,29.6,16.164623,11.37385,-2.594753,9.408467
29,10,11.129032,23.595798,14.368608,17.285931,0.915983
29,11,20.439405,17.213522,-5.648232,7.992445,0.118269
29,12,17.917574,-7.022351,11.740017,22.449959,-12.919836
29,13,5.502408,4.857317,20.010471,2.229411,-2.772331
29,14,27.246239,-2.205199,4.062729,-4.152301,-0.746538
29,15,5.870084,24.132441,16.224895,4.540664,1.635617
29,16,11.935992,19.911867,10.280343,9.930561,-2.537809
29,17,0.031923,22.327866,13.183753,-4.086315,-19.268612
29,18,5.837523,13.2213,7.279552,-1.664578,-3.729602
29,19,12.744936,-4.415442,-0.996762,5.129387,-7.039808
29,20,23.934332,10.933198,7.576963,1.568387,-3.575316
29,21,16.309919,-7.562865,18.593609,1.790076,11.150998
29,22,14.847832,11.985309,3.979668,-13.078972,-5.719936
29,23,1.911356,3.679609,4.309896,-7.993422,-2.969582
29,24,19.546356,-12.404916,14.564789,-0.751537,6.954539
29,25,26.977461,21.987753,23.097832,13.217864,0.206981
29,26,33.710865,5.03513,14.136661,-7.289641,-8.473488
29,27,14.568913,13.407716,10.759778,3.192405,0.164069
29,28,-3.743112,9.00682,7.039875,-7.274197,-9.472457
30,0,-18.175423,-19.188324,0.499235,1.741333,-4.16722
30,1,-8.501816,-16.94257,26.417278,-16.731297,-0.110551
30,2,-16.279669,-5.846667,5.155708,-2.393904,4.75463
30,3,-7.451351,-19.675812,12.561256,12.425362,-2.355955
30,4,-31.723011,-19.171572,7.081286,-16.166405,-8.885639
30,5,-28.379627,-21.252077,7.786544,2.427797,-7.699031
30,6,-28.625126,-41.680603,-10.782307,6.093956,-2.847141
30,7,-4.187413,0.885616,-3.226522,-6.5958,-1.112886
30,8,-8.59259,-23.021128,-11.31732,-3.792425,-1.215678
30,9,-1.412169,-13.544708,5.50848,13.572548,7.353199
30,10,-19.883139,-6.113533,8.503239,-7.982358,4.073853
